tracking_id	AU-Ma-4C_FPKM	AU-Ma-30C_FPKM	AU-Fe-4C_FPKM	AU-Fe-30C_FPKM	SU-Fe-4C_FPKM	SU-Fe-30C_FPKM	SU-Hem-4C_FPKM	SU-Hem-30C_FPKM
evm.TU.contig_24608	0	0	0	0	0.2488	0	0	0
evm.TU.contig_24654	0.251521	0.563798	0.456849	0	0.455369	0.35398	0.405732	0.760824
evm.TU.contig_25033	0	0	0	0	0	0	0	0
evm.TU.contig_25391	0	0	0	0	0.264575	0	0	0
evm.TU.contig_25860	0	0	5.04838	0	2.78778	0	0	0
evm.TU.contig_26180	84.7469	106.11	67.3585	99.9301	91.9302	90.9222	100.088	102.839
evm.TU.contig_26338	145.803	165.964	153.544	152.444	142.707	162.968	171.893	145.642
evm.TU.contig_26555	0	0	0	0	0	0	0	0
evm.TU.contig_26619	0	0	0	0	0	0	0	0
evm.TU.contig_26701	19.873	34.7459	33.5345	59.3807	43.7052	22.3763	30.9126	34.195
evm.TU.contig_26744	0	0	0	0	0	0	0	0
evm.TU.contig_26848	0.621758	0	1.10761	0	1.19562	0	0.385628	0
evm.TU.contig_26900	35.5835	30.5571	25.4877	29.017	39.7498	36.2128	20.2228	36.6513
evm.TU.contig_26916	0	0	0	0	0	0	0	0
evm.TU.contig_26917	0	0	0	0	0	0	0	0
evm.TU.contig_26967	14.8598	20.3556	18.433	22.1791	10.2102	12.8863	8.80459	15.2931
evm.TU.contig_27050	0	0	0	0	0	0	0	0
evm.TU.contig_27094	0	0	0	0	0	0	0	0
evm.TU.contig_27280	60.4072	35.9701	81.0071	45.5125	48.1215	27.5213	50.2367	34.613
evm.TU.contig_27313	0	0	0	0	3.52737	0	0	0
evm.TU.contig_27319	32.7486	48.8987	41.7836	45.4481	58.6413	49.5709	61.9903	46.3738
evm.TU.contig_27401	0	0	0	0	0	0	0	0
evm.TU.contig_27433	5.23338	5.88893	5.51289	6.52535	19.2815	10.7305	10.2968	15.8403
evm.TU.contig_27490	0.114205	0.13256	0.0642562	0.0909792	0.234025	0.0784167	0.344334	0.0550564
evm.TU.contig_27498	31.9165	35.2579	39.3999	31.5295	37.7042	39.5509	33.4133	35.1726
